Date,New Cases
6/20/20,704
6/21/20,579
6/22/20,870
6/23/20,872
6/24/20,747
6/25/20,682
6/26/20,709
6/27/20,676
6/28/20,488
6/29/20,524
6/30/20,852
7/1/20,707
7/2/20,684
7/3/20,630
7/4/20,419
7/5/20,450
7/6/20,667
7/7/20,680
7/8/20,719
7/9/20,674
7/10/20,442
7/11/20,375
7/12/20,386
7/13/20,629
7/14/20,616
7/15/20,719
7/16/20,803
7/17/20,782
7/18/20,427
7/19/20,599
7/20/20,807
7/21/20,846
7/22/20,773
7/23/20,654
7/24/20,620
7/25/20,570
7/26/20,673
7/27/20,855
7/28/20,993
7/29/20,960
7/30/20,863
7/31/20,575
8/1/20,387
8/2/20,456
8/3/20,856
8/4/20,935
8/5/20,966
8/6/20,1077
8/7/20,922
8/8/20,795
8/9/20,630
8/10/20,1383
8/11/20,1305
8/12/20,1114
8/13/20,1133
8/14/20,964
8/15/20,463
8/16/20,639
8/17/20,1289
8/18/20,954